-------------------------
PID Controller Parameters:
Position PID: P: 0.5, I: 0, D: 3
Orientation PID: P: 0.5, I: 0, D: 3
Linear Velocity PID: P: 1, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
[2025-03-26_22-23-02.710] Received Bspline message - pos_pts size: 26, yaw_pts size: 74, order=3
----- Control Points -----
Point[140]: time = 14, pos = (3.43377, 0, 0), vel = (0.480028, 0, 0), yaw = 0, yaw_dot = 0
Point[141]: time = 14.1, pos = (3.48183, 0, 0), vel = (0.481295, 0, 0), yaw = 0, yaw_dot = 0
Point[142]: time = 14.2, pos = (3.53002, 0, 0), vel = (0.482517, 0, 0), yaw = 0, yaw_dot = 0
Point[143]: time = 14.3, pos = (3.57834, 0, 0), vel = (0.483694, 0, 0), yaw = 0, yaw_dot = 0
Point[144]: time = 14.4, pos = (3.62676, 0, 0), vel = (0.484825, 0, 0), yaw = 0, yaw_dot = 0
Point[145]: time = 14.5, pos = (3.6753, 0, 0), vel = (0.485912, 0, 0), yaw = 0, yaw_dot = 0
Point[146]: time = 14.6, pos = (3.72394, 0, 0), vel = (0.486953, 0, 0), yaw = 0, yaw_dot = 0
Point[147]: time = 14.7, pos = (3.77269, 0, 0), vel = (0.487949, 0, 0), yaw = 0, yaw_dot = 0
Point[148]: time = 14.8, pos = (3.82153, 0, 0), vel = (0.488902, 0, 0), yaw = 0, yaw_dot = 0
Point[149]: time = 14.9, pos = (3.87047, 0, 0), vel = (0.489817, 0, 0), yaw = 0, yaw_dot = 0
Point[150]: time = 15, pos = (3.91949, 0, 0), vel = (0.490697, 0, 0), yaw = 0, yaw_dot = 0
Point[151]: time = 15.1, pos = (3.96861, 0, 0), vel = (0.491542, 0, 0), yaw = 0, yaw_dot = 0
Point[152]: time = 15.2, pos = (4.0178, 0, 0), vel = (0.49235, 0, 0), yaw = 0, yaw_dot = 0
Point[153]: time = 15.3, pos = (4.06707, 0, 0), vel = (0.493123, 0, 0), yaw = 0, yaw_dot = 0
Point[154]: time = 15.4, pos = (4.11642, 0, 0), vel = (0.493861, 0, 0), yaw = 0, yaw_dot = 0
Point[155]: time = 15.5, pos = (4.16584, 0, 0), vel = (0.494562, 0, 0), yaw = 0, yaw_dot = 0
Point[156]: time = 15.6, pos = (4.21533, 0, 0), vel = (0.495228, 0, 0), yaw = 0, yaw_dot = 0
Point[157]: time = 15.7, pos = (4.26489, 0, 0), vel = (0.495859, 0, 0), yaw = 0, yaw_dot = 0
Point[158]: time = 15.8, pos = (4.31451, 0, 0), vel = (0.49646, 0, 0), yaw = 0, yaw_dot = 0
Point[159]: time = 15.9, pos = (4.36418, 0, 0), vel = (0.497033, 0, 0), yaw = 0, yaw_dot = 0
Point[160]: time = 16, pos = (4.41391, 0, 0), vel = (0.497579, 0, 0), yaw = 0, yaw_dot = 0
Point[161]: time = 16.1, pos = (4.4637, 0, 0), vel = (0.498098, 0, 0), yaw = 0, yaw_dot = 0
Point[162]: time = 16.2, pos = (4.51353, 0, 0), vel = (0.498589, 0, 0), yaw = 0, yaw_dot = 0
Point[163]: time = 16.3, pos = (4.56341, 0, 0), vel = (0.499053, 0, 0), yaw = 0, yaw_dot = 0
Point[164]: time = 16.4, pos = (4.61334, 0, 0), vel = (0.499489, 0, 0), yaw = 0, yaw_dot = 0
Point[165]: time = 16.5, pos = (4.66331, 0, 0), vel = (0.499898, 0, 0), yaw = 0, yaw_dot = 0
Point[166]: time = 16.6, pos = (4.71332, 0, 0), vel = (0.500279, 0, 0), yaw = 0, yaw_dot = 0
Point[167]: time = 16.7, pos = (4.76336, 0, 0), vel = (0.500637, 0, 0), yaw = 0, yaw_dot = 0
Point[168]: time = 16.8, pos = (4.81344, 0, 0), vel = (0.500975, 0, 0), yaw = 0, yaw_dot = 0
Point[169]: time = 16.9, pos = (4.86356, 0, 0), vel = (0.501292, 0, 0), yaw = 0, yaw_dot = 0
Point[170]: time = 17, pos = (4.9137, 0, 0), vel = (0.501589, 0, 0), yaw = 0, yaw_dot = 0
Point[171]: time = 17.1, pos = (4.96388, 0, 0), vel = (0.501866, 0, 0), yaw = 0, yaw_dot = 0
Point[172]: time = 17.2, pos = (5.01408, 0, 0), vel = (0.502123, 0, 0), yaw = 0, yaw_dot = 0
Point[173]: time = 17.3, pos = (5.0643, 0, 0), vel = (0.502359, 0, 0), yaw = 0, yaw_dot = 0
Point[174]: time = 17.4, pos = (5.11455, 0, 0), vel = (0.502575, 0, 0), yaw = 0, yaw_dot = 0
Point[175]: time = 17.5, pos = (5.16481, 0, 0), vel = (0.502771, 0, 0), yaw = 0, yaw_dot = 0
Point[176]: time = 17.6, pos = (5.2151, 0, 0), vel = (0.502949, 0, 0), yaw = 0, yaw_dot = 0
Point[177]: time = 17.7, pos = (5.2654, 0, 0), vel = (0.503112, 0, 0), yaw = 0, yaw_dot = 0
Point[178]: time = 17.8, pos = (5.31572, 0, 0), vel = (0.503262, 0, 0), yaw = 0, yaw_dot = 0
Point[179]: time = 17.9, pos = (5.36606, 0, 0), vel = (0.503397, 0, 0), yaw = 0, yaw_dot = 0
Point[180]: time = 18, pos = (5.4164, 0, 0), vel = (0.503518, 0, 0), yaw = 0, yaw_dot = 0
Point[181]: time = 18.1, pos = (5.46676, 0, 0), vel = (0.503624, 0, 0), yaw = 0, yaw_dot = 0
Point[182]: time = 18.2, pos = (5.51713, 0, 0), vel = (0.503717, 0, 0), yaw = 0, yaw_dot = 0
Point[183]: time = 18.3, pos = (5.5675, 0, 0), vel = (0.503795, 0, 0), yaw = 0, yaw_dot = 0
Point[184]: time = 18.4, pos = (5.61788, 0, 0), vel = (0.503859, 0, 0), yaw = 0, yaw_dot = 0
Point[185]: time = 18.5, pos = (5.66827, 0, 0), vel = (0.50391, 0, 0), yaw = 0, yaw_dot = 0
Point[186]: time = 18.6, pos = (5.71867, 0, 0), vel = (0.503952, 0, 0), yaw = 0, yaw_dot = 0
Point[187]: time = 18.7, pos = (5.76906, 0, 0), vel = (0.503985, 0, 0), yaw = 0, yaw_dot = 0
Point[188]: time = 18.8, pos = (5.81946, 0, 0), vel = (0.504008, 0, 0), yaw = 0, yaw_dot = 0
